0000000	tissues, cell types and enzyme sources
0000001	culture condition:-induced cell
0000002	culture condition:1,4-dichlorobenzene-grown cell
0000003	intestinal cell line
0000004	culture condition:2,5-dihydroxybenzoate-grown cell
0000005	culture condition:2-aminobenzenesulfonate-grown cell
0000006	osteoblastoma cell
0000007	HEK-293 cell
0000008	culture condition:3-chlorobenzoate-grown cell
0000009	culture condition:3-hydroxybenzoate-grown cell
0000010	culture condition:3-methylcrotonoyl-CoA-grown cell
0000011	3T3-L1 cell
0000012	culture condition:4-(methoxymethyl)phenol-grown cell
0000013	culture condition:4-chlorophenol-grown cell
0000014	culture condition:4-hydroxybenzoate-grown cell
0000015	culture condition:4-methylmuconolactone-grown cell
0000016	A-172 cell
0000017	A-431 cell
0000018	A-549 cell
0000019	A7r5 cell
0000020	abdomen
0000021	head muscle
0000022	abdominal ganglion
0000023	pectoral muscle
0000024	abomasum
0000025	amniotic cavity
0000026	culture condition:galactose-grown cell
0000027	achene
0000028	pancreatic acinar cell
0000029	adductor longus
0000030	adductor
0000031	fruit peduncle
0000032	colonic adenocarcinoma cell
0000033	SW-403 cell
0000034	apical meristem
0000035	colorectal adenocarcinoma cell
0000036	gastric adenocarcinoma cell
0000037	renal cell carcinoma cell
0000038	SW-480 cell
0000039	root cap
0000040	adenohypophysis
0000041	medulla oblongata
0000042	animal
0000043	cerebellar cortex
0000044	tear gland
0000045	adrenal cortex
0000046	Y-1 cell
0000047	adrenal gland
0000048	zona glomerulosa
0000049	adrenal medulla
0000050	zona fasciculata
0000051	tendon sheath
0000052	stoma
0000053	albedo
0000054	albumen gland
0000055	pars recta
0000056	zona reticulata
0000057	aleurone layer
0000058	alimentary canal
0000059	renal epithelium
0000060	alveolus
0000061	alveolar sac
0000062	amastigote
0000063	culture condition:ammonium malate-grown cell
0000064	amniochorion
0000065	amnion
0000066	amniocyte
0000067	kidney cell line
0000068	amniotic fluid
0000069	WISH cell
0000070	fungal cell line
0000071	amoebocyte
0000072	carpel
0000073	culture condition:aniline-grown cell
0000074	antenna
0000075	antennal gland
0000076	anterior midgut
0000077	posterior midgut
0000078	microglia
0000079	anther
0000080	male reproductive gland
0000081	reproductive system
0000082	male reproductive system
0000083	female reproductive system
0000084	vermiform appendix
0000085	appressorium
0000086	culture condition:arabinose-grown cell
0000087	arterial smooth muscle
0000088	cardiovascular system
0000089	blood
0000090	ascidian
0000091	ascites
0000092	trypanosomoid form
0000093	MCF-7 cell
0000094	ascites tumor cell
0000095	F-9 cell
0000096	urinary bladder cell line
0000097	ascospore
0000098	astroblast
0000099	astrocyte
0000100	astrocytoma cell
0000101	astrocytoma cell line
0000102	blood clot
0000103	Colon 26-L5 cell
0000104	lymphoma cell line
0000105	upper epidermis
0000106	cranial ganglion
0000107	B95-8 cell
0000108	olfactory epithelium
0000109	bacteroid
0000110	amniotic cell line
0000111	BALB/3T12-3 cell
0000112	sieve cell
0000113	cervical ganglion
0000114	basidiocarp
0000115	BC3H1 cell
0000116	plant epidermis
0000117	culture condition:benzoate-grown cell
0000118	culture condition:benzoylformate-grown cell
0000119	berry
0000120	BHK-21 cell
0000121	bile
0000122	bile duct
0000123	bladder
0000124	microspore
0000125	blast cell
0000126	blastoderm
0000127	blastospore
0000128	blastula
0000129	basophil
0000130	neutrophil
0000131	blood plasma
0000132	blood platelet
0000133	blood serum
0000134	bloodstream form
0000135	aorta
0000136	bronchoalveolar system
0000137	pulmonary artery endothelium
0000138	midbrain
0000139	body wall
0000140	bone
0000141	bone marrow
0000142	brain
0000143	substantia nigra
0000144	meninx
0000145	brain myelin
0000146	brain stem
0000147	microgametophyte
0000148	branch
0000149	breast
0000150	breast cancer cell
0000151	extensor
0000152	infected cell
0000153	Walker carcinoma 256 cell
0000154	BRL-3A cell
0000155	bronchoalveolar lavage
0000156	brown adipose tissue
0000157	aorta thoracica
0000158	plant bud
0000159	bulb
0000160	bundle sheath
0000161	lung fibroblast cell line
0000162	culture condition:butyrate-grown cell
0000163	corolla
0000164	Burkitt lymphoma cell
0000165	C2C12 cell
0000166	cecum
0000167	adenocarcinoma cell line
0000168	carotid artery
0000169	calyx
0000170	cambium
0000171	NCI-H226Br cell
0000172	pileus
0000173	fruit capsule
0000174	embryonic structure
0000175	epithalamus
0000176	carcinoma cell
0000177	BG-1 cell
0000178	adenoma cell
0000179	Colo-205 cell
0000180	cervical carcinoma cell
0000181	Lewis lung carcinoma cell line
0000182	HT-29 cell
0000183	pancreatic cell line
0000184	medullary thyroid carcinoma cell
0000185	medullary breast carcinoma cell
0000186	lobular carcinoma cell
0000187	myeloblast
0000188	colonic cell line
0000189	small cell lung cancer cell
0000190	Ehrlich tumor carcinoma cell
0000191	medullary carcinoma cell
0000192	nasopharyngeal carcinoma cell
0000193	rectal cancer cell
0000194	endometrioid carcinoma cell
0000195	CACO-2 cell
0000196	thyroid cancer cell
0000197	carcinosarcoma cell
0000198	cardia
0000199	cardiac muscle
0000200	culture condition:2-chloropropionate-grown cell
0000201	pheochromocytoma cell line
0000202	sense organ
0000203	respiratory system
0000204	carotid body
0000205	nerve plexus
0000206	cartilage
0000207	tibial cartilage
0000208	caryopsis
0000209	corpus epididymis
0000210	cauda epididymis
0000211	caudate nucleus
0000212	caudate putamen
0000213	cecum mucosa
0000214	cell culture
0000215	culture condition:galactonate-grown cell
0000216	culture condition
0000217	MH-7777A cell
0000218	BALB/3T3 cell
0000219	plastron
0000220	MH1C1 cell
0000221	cell suspension culture
0000222	myoblast
0000223	teratocarcinoma cell
0000224	liver cell line
0000225	CEM cell
0000226	gitter cell
0000227	central nervous system
0000228	C-1300 cell
0000229	centrum semiovale
0000230	subarachnoid space
0000231	cerebral hemisphere
0000232	cerebellum
0000233	cerebral cortex
0000234	vein
0000235	basal ganglion
0000236	cerebral white matter
0000237	cerebrospinal fluid
